run,pass,cooldown_ms,variant,e2e_ns,rcm_ns
4,6,600,asm-opt,35555.1,19177.7
4,7,600,ref+ref,36646.7,20007.1
4,7,600,ref+owned,35210.5,19251.1
4,7,600,MaybeUninit,36353.6,19653.6
4,7,600,inline-always,34690.1,18949.1
4,7,600,asm-opt,34928.6,18865.2
4,8,600,ref+ref,34937.9,19089.7
4,8,600,ref+owned,35028.3,19164.6
4,8,600,MaybeUninit,35907.2,19428.9
4,8,600,inline-always,35948.4,19636.2
4,8,600,asm-opt,36105.8,19484.0
4,9,600,ref+ref,35971.0,19649.4
4,9,600,ref+owned,34656.9,18965.0
4,9,600,MaybeUninit,36006.3,19475.4
4,9,600,inline-always,34245.4,18708.5
4,9,600,asm-opt,33818.2,18259.6
4,10,600,ref+ref,35484.9,19379.9
4,10,600,ref+owned,36587.3,20018.4
4,10,600,MaybeUninit,35422.7,19159.9
4,10,600,inline-always,36745.2,20063.2
4,10,600,asm-opt,35533.8,19178.2
